""	"BR:MCF7"	"BR:MDA-MB-231"	"BR:HS 578T"	"BR:BT-549"	"BR:T-47D"	"CNS:SF-268"	"CNS:SF-295"	"CNS:SF-539"	"CNS:SNB-19"	"CNS:SNB-75"	"CNS:U251"	"CO:COLO 205"	"CO:HCC-2998"	"CO:HCT-116"	"CO:HCT-15"	"CO:HT29"	"CO:KM12"	"CO:SW-620"	"LE:CCRF-CEM"	"LE:HL-60(TB)"	"LE:K-562"	"LE:MOLT-4"	"LE:RPMI-8226"	"LE:SR"	"ME:LOX IMVI"	"ME:MALME-3M"	"ME:M14"	"ME:SK-MEL-2"	"ME:SK-MEL-28"	"ME:SK-MEL-5"	"ME:UACC-257"	"ME:UACC-62"	"ME:MDA-MB-435"	"ME:MDA-N"	"LC:A549/ATCC"	"LC:EKVX"	"LC:HOP-62"	"LC:HOP-92"	"LC:NCI-H226"	"LC:NCI-H23"	"LC:NCI-H322M"	"LC:NCI-H460"	"LC:NCI-H522"	"OV:IGROV1"	"OV:OVCAR-3"	"OV:OVCAR-4"	"OV:OVCAR-5"	"OV:OVCAR-8"	"OV:SK-OV-3"	"OV:NCI/ADR-RES"	"PR:PC-3"	"PR:DU-145"	"RE:786-0"	"RE:A498"	"RE:ACHN"	"RE:CAKI-1"	"RE:RXF 393"	"RE:SN12C"	"RE:TK-10"	"RE:UO-31"
"756656_1105RS56"	7.086974	4.976001	6.303456	5.905372	NA	4.960476	6.461441	NA	5.399376	6.718051	5.905342	5.695958	5.474572	5.517658	5.526072	5.82939	5.410981	4.879249	6.005802	5.144523	5.53808	6.33125	5.556548	5.536976	5.673464	5.860128	5.84561	4.854232	5.806175	5.487123	5.880084	NA	5.59528	NA	5.557306	5.898026	5.223783	NA	4.833872	4.891396	5.251048	6.233977	5.355225	6.916754	5.684375	4.934797	NA	4.931959	6.462702	4.927157	7.14378	4.871333	6.165201	7.246269	5.631365	5.228	6.605954	5.183494	6.224776	6.342441
"756657_1103NS18"	6.238202	5.944022	5.885811	5.708872	5.790425	5.981177	5.973269	5.972792	5.888733	5.935601	6.274301	5.891292	NA	6.118942	7.102742	6.087519	6.100563	6.132513	6.307129	5.943466	6.373696	5.98285	5.976697	6.465363	6.282432	5.766356	5.820924	5.756089	5.839538	5.963578	5.810115	5.836537	5.940524	NA	6.04509	5.806739	5.914062	5.894899	5.824009	5.750774	5.89112	6.565308	5.874451	5.961148	5.869539	5.889277	5.806811	6.089695	5.909037	5.950454	5.973156	5.904914	5.832565	5.784702	5.928144	5.966632	5.916548	5.844375	5.883772	5.907708
"757148_1103NS20"	6.655852	6.374197	6.691436	6.564655	5.543377	6.251472	6.80318	7.092584	6.21453	6.809767	6.195205	6.674522	6.526644	6.280802	5.631613	6.584658	7.429276	6.378606	6.478208	6.537531	6.472414	6.450093	6.123269	6.52298	6.644332	NA	6.727279	6.538012	5.35317	6.45601	5.679832	6.333333	6.605933	NA	6.312263	5.948769	6.446111	NA	6.282277	6.645674	6.579442	6.296747	6.464649	6.5081	6.312628	6.516529	6.255528	6.45528	6.428261	5.774123	6.073456	6.341845	6.640984	7.398707	6.744979	5.879373	7.373276	6.466027	6.61049	6.389767
"757148_1105NS53"	7.05318	6.362069	6.739383	6.568519	5.402494	6.388783	7.376788	7.345327	6.282374	6.92775	6.370351	6.532393	6.382117	6.42285	5.738432	6.560755	7.469407	6.412851	7.120877	6.610269	6.696516	6.745178	6.358102	NA	6.734747	6.578975	7.17682	6.189459	5.521172	6.244345	5.657993	6.380583	6.871703	NA	6.540814	6.071183	6.473844	5.958898	6.343099	6.744157	6.798973	6.333262	6.494844	6.811799	6.138135	6.776555	6.537181	6.458116	6.346831	5.319588	6.368231	6.355511	7.07284	7.269208	7.307589	6.469027	7.420619	6.770338	6.25056	6.689469
"757148_1106RS59"	6.494553	6.104134	6.464475	6.255682	5.789039	6.284074	6.837645	6.938509	6.192844	6.496111	6.272343	6.627476	6.510306	6.323681	5.512863	6.468231	7.393355	6.231117	6.703681	6.382581	6.617335	6.598349	6.222015	6.63672	6.653921	5.767097	6.809647	6.540829	5.361538	6.129858	5.721413	6.429462	6.642805	NA	6.423194	5.917105	6.585162	6.146313	6.076007	6.75065	6.479167	6.227472	6.432809	6.329815	6.023362	6.361565	NA	6.502782	6.494497	5.227464	6.201477	6.365613	6.739298	7.429456	NA	5.837816	7.272493	6.674875	6.492566	6.417265
"757148_1107RS89"	7.158424	6.648233	6.925451	6.518199	5.535282	6.432879	7.200378	7.466284	6.381619	7.723469	6.279075	6.827837	6.834619	6.446247	5.951223	6.585786	7.527516	6.472007	7.323661	6.613939	NA	6.547162	6.565958	7.404264	6.771876	6.065957	7.255245	7.179775	5.57288	6.532895	5.818428	6.667448	6.851887	NA	6.52027	6.057669	6.635707	7.03866	6.274773	NA	6.730204	6.46401	6.859913	6.622536	6.564531	6.379464	6.53629	6.572594	6.661008	5.67902	6.490491	6.384865	6.663098	7.561151	7.011634	6.019898	7.546067	6.730992	7.049123	6.5701
"757438_1104NS31"	4.552233	4.91516	5.301377	4.743877	4.959086	4.919061	5.136255	4.93365	4.499724	5.230859	4.977548	6.956799	4.637651	5.134015	5.068371	6.718095	4.93061	4.59252	4.604766	4.600885	4.939507	4.76944	4.534005	NA	6.223129	7.538089	7.021552	NA	6.79457	5.16959	6.999334	7.17583	6.451166	NA	4.954534	4.629855	5.009427	5.188503	4.748982	4.611038	5.150372	5.183183	4.952769	5.206763	4.824305	4.849454	4.55518	5.063289	5.4126	4.762174	4.962913	5.166944	4.843575	5.016725	5.322884	5.417219	5.414761	5.009478	5.053474	5.162379
"757438_1104NS34"	4.703656	NA	5.687002	4.999128	5.174257	5.082623	5.418272	5.189052	4.636426	5.52073	5.164623	7.091894	4.817223	5.276008	5.298355	6.967391	5.098587	4.829926	4.888449	4.842926	5.22533	5.007892	4.691659	5.35187	5.330574	7.616432	NA	5.557428	7.189133	5.302125	7.02518	7.314384	6.629452	NA	5.159742	4.885289	4.901033	5.579901	4.851911	4.708627	5.261602	5.389894	5.171531	5.495935	4.968806	5.158958	4.723773	5.200626	5.542775	4.835657	5.039709	5.324731	5.038371	5.73294	5.468504	5.478116	5.4652	5.213158	5.478163	5.262523
"757438_1106RS63"	NA	5.103226	5.23654	4.792741	4.86255	4.682026	5.261277	4.98425	4.362955	4.997218	4.953472	6.673828	4.657074	5.187537	5.181442	6.680525	4.841541	4.509694	4.844822	4.651872	4.852452	4.747551	4.570231	NA	5.739282	7.422761	6.880215	5.350894	6.750394	6.451406	6.761295	7.044757	6.373759	NA	4.889451	4.703216	4.827796	5.665059	4.615591	4.645247	5.039628	5.110611	5.204118	5.262222	4.62004	4.89984	4.604002	4.953723	5.313303	4.90625	5.009007	4.923868	4.934547	5.144876	5.484154	5.448822	5.263866	5.083679	5.203812	5.136238
"757438_1106RS68"	4.825193	5.106274	5.409091	4.970725	5.27702	4.79725	5.269765	5.057075	4.607674	5.489259	5.071739	7.015937	4.89799	5.230239	5.167588	6.432045	4.905993	4.652115	NA	NA	NA	4.80864	NA	5.307567	5.460253	7.5	6.990606	5.170122	7.117782	6.706479	6.768972	7.243417	6.432692	NA	5.018527	4.731392	5.219184	5.54392	4.94117	4.771654	5.21875	5.226421	4.986455	5.240323	4.831432	5.137434	4.644147	5.001838	5.430973	4.814804	4.893617	5.073045	5.071827	5.262605	5.41595	5.404906	4.982778	5.157801	5.068209	5.214135
