""	"nsc_exp_name"	"nsc"	"experiment"	"used_in_zscore"
"752_9312SS63"	"752_9312SS63"	"752"	"9312SS63"	TRUE
"752_9512SR92"	"752_9512SR92"	"752"	"9512SR92"	TRUE
"752_9601SR03"	"752_9601SR03"	"752"	"9601SR03"	TRUE
"752_9602SR10"	"752_9602SR10"	"752"	"9602SR10"	TRUE
"752_9603MD16"	"752_9603MD16"	"752"	"9603MD16"	TRUE
"752_9603NS01"	"752_9603NS01"	"752"	"9603NS01"	TRUE
"752_9603SR16"	"752_9603SR16"	"752"	"9603SR16"	TRUE
"752_9604SR24"	"752_9604SR24"	"752"	"9604SR24"	TRUE
"752_9706MD48"	"752_9706MD48"	"752"	"9706MD48"	TRUE
"752_9706NS64"	"752_9706NS64"	"752"	"9706NS64"	TRUE
"755_8907AG38"	"755_8907AG38"	"755"	"8907AG38"	TRUE
"755_8907MD10"	"755_8907MD10"	"755"	"8907MD10"	TRUE
"755_8907NS45"	"755_8907NS45"	"755"	"8907NS45"	TRUE
"755_8907SC02"	"755_8907SC02"	"755"	"8907SC02"	TRUE
"755_8908SA09"	"755_8908SA09"	"755"	"8908SA09"	TRUE
"755_8909NS57"	"755_8909NS57"	"755"	"8909NS57"	TRUE
"755_8910AG56"	"755_8910AG56"	"755"	"8910AG56"	TRUE
"755_8910NS65"	"755_8910NS65"	"755"	"8910NS65"	TRUE
"755_8910SA25"	"755_8910SA25"	"755"	"8910SA25"	TRUE
"755_8911MD36"	"755_8911MD36"	"755"	"8911MD36"	TRUE
"755_8911NS78"	"755_8911NS78"	"755"	"8911NS78"	TRUE
"755_8911SA38"	"755_8911SA38"	"755"	"8911SA38"	TRUE
"755_8912AG67"	"755_8912AG67"	"755"	"8912AG67"	TRUE
"755_8912NS84"	"755_8912NS84"	"755"	"8912NS84"	TRUE
"755_8912SA43"	"755_8912SA43"	"755"	"8912SA43"	TRUE
"755_9001AG72"	"755_9001AG72"	"755"	"9001AG72"	TRUE
"755_9001NS90"	"755_9001NS90"	"755"	"9001NS90"	TRUE
"755_9001SA49"	"755_9001SA49"	"755"	"9001SA49"	TRUE
"755_9002MD57"	"755_9002MD57"	"755"	"9002MD57"	TRUE
"755_9002NS99"	"755_9002NS99"	"755"	"9002NS99"	TRUE
"755_9002SA56"	"755_9002SA56"	"755"	"9002SA56"	TRUE
"755_9003AG87"	"755_9003AG87"	"755"	"9003AG87"	TRUE
"755_9003MD64"	"755_9003MD64"	"755"	"9003MD64"	TRUE
"755_9003NS08"	"755_9003NS08"	"755"	"9003NS08"	TRUE
"755_9003SA61"	"755_9003SA61"	"755"	"9003SA61"	TRUE
"755_9004AG96"	"755_9004AG96"	"755"	"9004AG96"	TRUE
"755_9004NS17"	"755_9004NS17"	"755"	"9004NS17"	TRUE
"755_9004SA67"	"755_9004SA67"	"755"	"9004SA67"	TRUE
"755_9005MD78"	"755_9005MD78"	"755"	"9005MD78"	TRUE
"755_9005NS24"	"755_9005NS24"	"755"	"9005NS24"	TRUE
"755_9006AG09"	"755_9006AG09"	"755"	"9006AG09"	TRUE
"755_9006NS29"	"755_9006NS29"	"755"	"9006NS29"	TRUE
"755_9006SA79"	"755_9006SA79"	"755"	"9006SA79"	TRUE
"755_9008AG22"	"755_9008AG22"	"755"	"9008AG22"	TRUE
"755_9008MD01"	"755_9008MD01"	"755"	"9008MD01"	TRUE
"755_9008NS46"	"755_9008NS46"	"755"	"9008NS46"	TRUE
"755_9008SA96"	"755_9008SA96"	"755"	"9008SA96"	TRUE
"755_9010AG40"	"755_9010AG40"	"755"	"9010AG40"	TRUE
"755_9010MD14"	"755_9010MD14"	"755"	"9010MD14"	TRUE
"755_9010NS67"	"755_9010NS67"	"755"	"9010NS67"	TRUE
"755_9010SA20"	"755_9010SA20"	"755"	"9010SA20"	TRUE
"755_9012AG54"	"755_9012AG54"	"755"	"9012AG54"	TRUE
"755_9012MD26"	"755_9012MD26"	"755"	"9012MD26"	TRUE
"755_9012NS82"	"755_9012NS82"	"755"	"9012NS82"	TRUE
"755_9012SA36"	"755_9012SA36"	"755"	"9012SA36"	TRUE
"755_9106SA84"	"755_9106SA84"	"755"	"9106SA84"	TRUE
"755_9106SM74"	"755_9106SM74"	"755"	"9106SM74"	TRUE
"755_9106SS69"	"755_9106SS69"	"755"	"9106SS69"	TRUE
"755_9108AG19"	"755_9108AG19"	"755"	"9108AG19"	TRUE
"755_9108SA02"	"755_9108SA02"	"755"	"9108SA02"	TRUE
"755_9108SM89"	"755_9108SM89"	"755"	"9108SM89"	TRUE
"755_9108SS93"	"755_9108SS93"	"755"	"9108SS93"	TRUE
"755_9110AG36"	"755_9110AG36"	"755"	"9110AG36"	TRUE
"755_9110SA17"	"755_9110SA17"	"755"	"9110SA17"	TRUE
"755_9110SM07"	"755_9110SM07"	"755"	"9110SM07"	TRUE
"755_9110SS21"	"755_9110SS21"	"755"	"9110SS21"	TRUE
"755_9112AG48"	"755_9112AG48"	"755"	"9112AG48"	TRUE
"755_9112SA29"	"755_9112SA29"	"755"	"9112SA29"	TRUE
"755_9112SM20"	"755_9112SM20"	"755"	"9112SM20"	TRUE
"755_9112SS42"	"755_9112SS42"	"755"	"9112SS42"	TRUE
"755_9202AG08"	"755_9202AG08"	"755"	"9202AG08"	TRUE
"755_9202SA43"	"755_9202SA43"	"755"	"9202SA43"	TRUE
"755_9202SM34"	"755_9202SM34"	"755"	"9202SM34"	TRUE
"755_9204AG22"	"755_9204AG22"	"755"	"9204AG22"	TRUE
"755_9204SA61"	"755_9204SA61"	"755"	"9204SA61"	TRUE
"755_9204SM54"	"755_9204SM54"	"755"	"9204SM54"	TRUE
"755_9204SS88"	"755_9204SS88"	"755"	"9204SS88"	TRUE
"755_9206AG38"	"755_9206AG38"	"755"	"9206AG38"	TRUE
"755_9206SA76"	"755_9206SA76"	"755"	"9206SA76"	TRUE
"755_9206SS08"	"755_9206SS08"	"755"	"9206SS08"	TRUE
"755_9208AG55"	"755_9208AG55"	"755"	"9208AG55"	TRUE
"755_9208SM84"	"755_9208SM84"	"755"	"9208SM84"	TRUE
"755_9208SS34"	"755_9208SS34"	"755"	"9208SS34"	TRUE
"755_9210AG71"	"755_9210AG71"	"755"	"9210AG71"	TRUE
"755_9210SA11"	"755_9210SA11"	"755"	"9210SA11"	TRUE
"755_9210SS70"	"755_9210SS70"	"755"	"9210SS70"	TRUE
"755_9302SA37"	"755_9302SA37"	"755"	"9302SA37"	TRUE
"755_9304SA53"	"755_9304SA53"	"755"	"9304SA53"	TRUE
